City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
144,Sompeta,IN,88.38,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
145,Xuddur,SO,68.63,clear sky,4.1213,43.8894,Banjanay Hotel
147,Quelimane,MZ,67.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
148,Mahibadhoo,MV,82.35,overcast clouds,3.7833,72.9667,Omadhoo Inn
152,Ipameri,BR,67.64,scattered clouds,-17.7219,-48.1597,Real Hotel
153,Pleshanovo,RU,67.53,clear sky,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
155,Benjamin Aceval,PY,75.34,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
158,Bilma,NE,83.07,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
162,Soubre,CI,69.6,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
163,Ilesha,NG,67.82,overcast clouds,7.1371,5.2583,Tosap Guest House
167,Mahoba,IN,89.02,overcast clouds,25.2833,79.8667,"Hotel, Restaurant and Guest House"
168,Cusuna,HN,75.63,scattered clouds,15.85,-85.2333,San Francisco de la paz
171,Pospelikha,RU,74.93,scattered clouds,51.95,81.7667,
174,Asfi,MA,76.41,scattered clouds,32.2994,-9.2372,Hôtel Abda
175,Bambous Virieux,MU,68.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
180,Potamia,GR,68.36,clear sky,40.7163,24.7286,Blue Sea Beach Hotel
182,Bayevo,RU,68.43,overcast clouds,53.2833,80.7667,Гостиница «Кулунда»
183,Kara-Tyube,RU,81.21,clear sky,44.6336,45.4369,
185,Saint-Tite,CA,73.63,overcast clouds,46.7334,-72.5658,Gîte de l'Artiste
189,Camocim,BR,77.02,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
191,Torbay,CA,68.77,broken clouds,47.6666,-52.7314,Gallows Cove
195,Exeter,GB,66.67,overcast clouds,50.7236,-3.5275,Premier Inn Exeter (Countess Wear) hotel
196,Ibia,BR,67.46,scattered clouds,-19.4783,-46.5389,Hotel Triângulo
197,Bar Harbor,US,68.34,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
201,Aksu,CN,78.62,clear sky,41.1231,80.2644,Pudong Holiday Hotel
202,Yuzhno-Sukhokumsk,RU,81.5,clear sky,44.6581,45.6436,
203,Jardim,BR,69.35,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
204,Soyo,AO,67.77,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
205,Ormara,PK,82.0,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
206,Bajil,YE,85.96,overcast clouds,15.0584,43.2851,فندق حضرموت
207,Iracoubo,GF,75.52,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
208,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
213,Camopi,GF,70.9,broken clouds,3.1655,-52.3158,La pousada
214,Itarema,BR,78.06,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
216,Santiago De Cuba,CU,84.31,few clouds,20.0247,-75.8219,Cubanacan San Felix
217,Key Largo,US,84.0,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
219,Sheffield,GB,67.35,overcast clouds,53.383,-1.4659,Hotel Novotel Sheffield Centre
220,Warri,NG,73.35,light rain,5.5167,5.75,GT Guesthouse
222,Gogrial,SS,69.08,overcast clouds,8.5332,28.1004,
223,Simiti,CO,74.93,overcast clouds,7.9579,-73.9436,Cancha la original
224,Becerril,CO,78.64,overcast clouds,9.7041,-73.2793,Barrio El Carmen
226,Keti Bandar,PK,82.76,overcast clouds,24.1447,67.4497,Haji laloo memon house
228,Ouesso,CG,69.44,broken clouds,1.6136,16.0517,ABENIE Hotel
230,Kanniyakumari,IN,78.89,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
231,Micheweni,TZ,72.95,clear sky,-4.9667,39.8333,
232,Iguatu,BR,70.52,clear sky,-6.3594,-39.2986,Roman Catholic Diocese of Iguatu
235,Barry,GB,68.07,overcast clouds,51.4067,-3.2694,Aberthaw House Hotel
236,Betanzos,ES,66.85,clear sky,43.2804,-8.2147,Hotel Garelos Betanzos
237,Chakwal,PK,85.86,clear sky,32.9334,72.8585,Uet Boys Hostel
238,Porto Walter,BR,72.9,overcast clouds,-8.2686,-72.7439,Hotel Silva
241,Riyadh,SA,87.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
242,Amapa,BR,69.98,broken clouds,1.0,-52.0,
244,At-Bashi,KG,68.09,broken clouds,41.1702,75.8106,Hostel At-Bashy
245,Golubitskaya,RU,77.43,clear sky,45.3222,37.2822,Parus
246,Cape Coast,GH,72.34,broken clouds,5.1053,-1.2466,Samrit Hotel
